,Dataset,dt,bagging_dt,random_forest,gradient_boosting
0,c300_d100,0.685,0.78,0.755,0.785
1,c300_d1000,0.6725,0.8735,0.8465,0.977
2,c300_d5000,0.7803,0.904,0.8709,0.9874
3,c500_d100,0.695,0.845,0.86,0.9
4,c500_d1000,0.682,0.8835,0.9095,0.984
5,c500_d5000,0.7881,0.9259,0.9351,0.9897
6,c1000_d100,0.73,0.92,0.99,0.94
7,c1000_d1000,0.808,0.94,0.98,0.988
8,c1000_d5000,0.8535,0.962,0.9936,0.9958
9,c1500_d100,0.84,0.99,1.0,1.0
10,c1500_d1000,0.92,0.984,1.0,0.998
11,c1500_d5000,0.9551,0.9894,1.0,0.9989
12,c1800_d100,0.925,0.935,1.0,0.99
13,c1800_d1000,0.9745,0.9935,1.0,0.9995
14,c1800_d5000,0.9834,0.9977,0.9999,0.9998
