,Dataset,dt,bagging_dt,random_forest,gradient_boosting
0,c300_d100,0.7123287671232876,0.7731958762886598,0.743455497382199,0.7881773399014779
1,c300_d1000,0.7095343680709535,0.8748144482929243,0.8473396320238687,0.9774730656219393
2,c300_d5000,0.7884041221227006,0.9087278950370793,0.8726196349284657,0.9875567845151096
3,c500_d100,0.6965174129353234,0.8516746411483254,0.8556701030927835,0.9038461538461539
4,c500_d1000,0.687007874015748,0.8819057273188039,0.9100844510680576,0.9841584158415841
5,c500_d5000,0.7978246350539071,0.9281489382332978,0.9363538295577131,0.9898029898029898
6,c1000_d100,0.7476635514018691,0.9207920792079208,0.9900990099009901,0.9393939393939394
7,c1000_d1000,0.8102766798418972,0.9420849420849421,0.9799599198396793,0.9880478087649402
8,c1000_d5000,0.8596608870581474,0.9619391025641025,0.9936114993012577,0.9958083832335329
9,c1500_d100,0.8545454545454545,0.9900990099009901,1.0,1.0
10,c1500_d1000,0.921645445641528,0.9840637450199203,1.0,0.998001998001998
11,c1500_d5000,0.9555753438211141,0.9894021195760848,1.0,0.9989005497251374
12,c1800_d100,0.9282296650717703,0.937799043062201,1.0,0.9900990099009901
13,c1800_d1000,0.9747899159663865,0.9934967483741871,1.0,0.9995002498750625
14,c1800_d5000,0.9835153922542205,0.9976979281353218,0.9998999899989999,0.9998
